site_id,coordinate_type,lat,long
D09,survey_start,50.302844,-125.339717
D30,survey_start,50.294022,-125.316457
D22,survey_start,50.245625,-125.396517
D27,survey_start,50.274449,-125.381286
D08,survey_start,50.314967,-125.054194
D29,survey_start,50.302405,-125.03941
D10,survey_start,50.445504,-125.28319
J03,survey_start,50.547536,-126.677272
J02,survey_start,50.60004,-126.69632
J13,survey_start,50.53372,-126.62317
J09,survey_start,50.543639,-126.789411
J11,survey_start,50.535756,-126.758967
J12,survey_start,50.526658,-126.723464
D09,survey_end,50.310328,-125.318125
D30,survey_end,50.289444,-125.322969
D22,survey_end,50.230994,-125.394444
D27,survey_end,50.269228,-125.360408
D08,survey_end,50.325114,-125.035103
D29,survey_end,50.3101,-125.017897
D10,survey_end,50.435912,-125.263308
J03,survey_end,50.544464,-126.652425
J02,survey_end,50.605248,-126.716388
J13,survey_end,50.5262,-126.61338
J09,survey_end,50.544089,-126.815006
J11,survey_end,50.539811,-126.783186
J12,survey_end,50.533069,-126.746053
D09,ocgy_std,50.307276,-125.329834
D30,ocgy_std,50.291829,-125.320003
D31,ocgy_std,50.31975,-125.270167
D22,ocgy_std,50.244069,-125.397371
D27,ocgy_std,50.271879,-125.376922
D32,ocgy_std,50.178767,-125.338256
D08,ocgy_std,50.319983,-125.040963
D29,ocgy_std,50.303175,-125.031603
D33,ocgy_std,50.286961,-124.977972
D34,ocgy_std,50.186914,-125.034097
D10,ocgy_std,50.443069,-125.272498
J03,ocgy_std,50.546936,-126.671869
J02,ocgy_std,50.599433,-126.703364
J13,ocgy_std,50.53779,-126.63191
J09,ocgy_std,50.544011,-126.814611
J11,ocgy_std,50.539058,-126.777119
J12,ocgy_std,50.526406,-126.727619
D35,ocgy_std,50.456669,-125.267602
