site_id,site_name,region,zone,site_priority,pfma,site_notes
D01,Hurtado Point,DI,E,NA,,
D02,Kinghorn Island,DI,E,NA,,
D03,Sutil Narrows,DI,E,NA,,
D04,Francisco Point,DI,NA,NA,,
D05,Lewis Channel,DI,E,NA,,
D06,Gowlland Harbour,DI,W,NA,,
D07,Hoskyn Channel,DI,C,NA,13-12,
D08,Calm Channel,DI,E,NA,13-19,Primary site in 2017. Discontinued in 2018
D09,Okisollo Channel,DI,C,1,13-10,
D10,Hall Point,DI,E,1,13-23,
D11,Turn Island,DI,NA,NA,,
D12,Hyacinthe Bay,DI,C,NA,,
D20,Godwin Point,DI,NA,NA,,
D21,Hemming Bay,DI,NA,NA,,
D22,McMullen Point,DI,W,2,13-7,Primary site in 2017 and first half of 2018
D23,Discovery East,DI,W,NA,,
D24,Surge Narrows,DI,C,NA,,
D25,Twin Islands,DI,E,NA,,
D26,Oyster Bay,DI,W,NA,,
D27,Granite Point,DI,W,1,13-8,Secondary site in 2017 and second half of 2018
D28,Knox Bay,DI,NA,NA,,
D29,Raza Island,DI,E,NA,13-19,Secondary site in 2017. Discontinued in 2018
D30,Chonat Bay,DI,C,2,13-10,
D31,Barnes Bay,DI,C,3,13-10,Established 2017. No set survey transect start/end coordinates as of 2019
D32,Deepwater Bay,DI,W,NA,13-7,Established 2017. No set survey transect start/end coordinates as of 2019
D33,South Raza Island,DI,E,3,15-5,Established 2017. No set survey transect start/end coordinates as of 2019
D34,Penn Islands,DI,E,3,13-17,Established 2017. No set survey transect start/end coordinates as of 2019
J01,Hanson North,JS,N,NA,,
J02,Swanson Island,JS,N,2,12-5,
J03,Cracroft Point,JS,N,1,12-3,
J04,Forward Bay,JS,N,NA,,
J05,Stimpson Point,JS,N,NA,,
J06,Blenkinsop Bay,JS,N,NA,,
J07,South Mouth,JS,S,NA,,
J08,Naka Creek,JS,S,NA,,
J09,Bauza Cove,JS,S,1,12-4,Formerly known as “Blinkhorn Peninsula” & renamed after conclusion of the 2019 field season. Erroneously treated as secondary site in 2019.
J10,Hanson South,JS,N,NA,,
J11,Blinkhorn Bay,JS,S,2,12-3,Erroneously treated as primary site in 2019. Formerly classified as J09 in 2015-2016 until divergence in 2017 and establishment as separate site.
J12,West Kaikash Creek,JS,S,3,12-3,
J13,Sophia Islands,JS,N,3,12-21,
D35,Denham Bay,DI,E,2,13-23,No set survey transect start/end cooordinates as of 2019
