yday,predicted_mean_temp,station,date,mean_temp,mean_do,mean_salinity,diff
49,7.266029721050051,QU39,2020-02-18,7.21807,6.360116666666666,28.259543333333333,neg
57,7.240919123739079,QU39,2020-02-26,7.134516666666666,6.431996666666667,28.051053333333332,neg
66,7.42942320703026,QU39,2020-03-06,7.2323466666666665,6.56269,28.333306666666665,neg
72,7.73620935263373,QU39,2020-03-12,7.44244,6.155783333333333,28.62649,neg
78,8.127658183141616,QU39,2020-03-18,8.088146666666667,5.871406666666666,29.244876666666666,neg
108,9.413264974725857,QU39,2020-04-17,9.33769,5.20568,29.717773333333334,neg
120,10.035382680549521,QU39,2020-04-29,10.393193333333333,6.93168,29.288286666666668,pos
135,11.33852731210904,QU39,2020-05-14,11.62632258064516,6.681609677419355,28.103664516129033,pos
147,12.162778603016527,QU39,2020-05-26,12.007316666666666,5.335336666666667,28.654933333333332,neg
156,11.888617488873292,QU39,2020-06-04,13.117313333333334,5.63808,27.968303333333335,pos
163,11.695796035269254,QU39,2020-06-11,13.2615,5.695616666666667,27.45117,pos
169,11.580917633103281,QU39,2020-06-17,13.56176,5.54695,26.913843333333332,pos
177,11.772978281807676,QU39,2020-06-25,12.09719,4.4289266666666665,27.50936,pos
182,11.952814673034052,QU39,2020-06-30,10.450573333333333,4.085516666666667,28.70399666666667,neg
191,12.400087763337895,QU39,2020-07-09,14.1199,5.543036666666667,24.979356666666668,pos
197,12.436152613219278,QU39,2020-07-15,12.839269999999999,4.693993333333333,26.067946666666668,pos
204,12.316096070087191,QU39,2020-07-22,10.967776666666666,3.96871,28.415696666666665,neg
211,11.98174535802925,QU39,2020-07-29,13.009346666666666,5.198903333333333,27.337333333333333,pos
114,9.696522561641276,QU39,NA,9.696522561641276,NA,NA,NA
141,11.828134626025223,QU39,NA,11.828134626025223,NA,NA,NA
151.5,12.081050743382061,QU39,NA,12.081050743382061,NA,NA,NA
179.5,11.857249992166514,QU39,NA,11.857249992166514,NA,NA,NA
186.5,12.204713644336703,QU39,NA,12.204713644336703,NA,NA,NA
200.5,12.402867747083992,QU39,NA,12.402867747083992,NA,NA,NA
207.5,12.173752638454909,QU39,NA,12.173752638454909,NA,NA,NA
